timestamp,Rotor,_id,KH-Zähl2,GetrT,Spann,Azimut,Spann.2,Prod. 2,Leistung,Abgabe,BtrStd 1,Bezug,KH-Ana-3,Gen1-,Strom-.2,KH-Zähl1,KH-Ana-2,KH-DigiE,Außen,Strom-,Wind,Lager,KH-DigiI,Prod. 1,Spann.1,CosPh,Status,KH-Ana-1,BtrStd 2,Strom-.1,KH-Ana-4
2016-01-21T09:50:00.000Z,0,6882314aa85e68182405c370,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T10:00:00.000Z,0,6882314aa85e68182405c371,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T10:10:00.000Z,0,6882314aa85e68182405c372,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T10:20:00.000Z,0,6882314aa85e68182405c373,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T10:30:00.000Z,0,6882314aa85e68182405c374,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T10:40:00.000Z,0,6882314aa85e68182405c375,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T10:50:00.000Z,0,6882314aa85e68182405c376,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T11:00:00.000Z,0,6882314aa85e68182405c377,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T11:10:00.000Z,0,6882314aa85e68182405c378,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T11:20:00.000Z,0,6882314aa85e68182405c379,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T11:30:00.000Z,0,6882314aa85e68182405c37a,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T11:40:00.000Z,0,6882314aa85e68182405c37b,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T11:50:00.000Z,0,6882314aa85e68182405c37c,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T12:00:00.000Z,0,6882314aa85e68182405c37d,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T12:10:00.000Z,0,6882314aa85e68182405c37e,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T12:20:00.000Z,0,6882314aa85e68182405c37f,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T12:30:00.000Z,0,6882314aa85e68182405c380,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T12:40:00.000Z,0,6882314aa85e68182405c381,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T12:50:00.000Z,0,6882314aa85e68182405c382,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T13:00:00.000Z,0,6882314aa85e68182405c383,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T13:10:00.000Z,0,6882314aa85e68182405c384,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T13:20:00.000Z,0,6882314aa85e68182405c385,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T13:30:00.000Z,0,6882314aa85e68182405c386,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T13:40:00.000Z,0,6882314aa85e68182405c387,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T13:50:00.000Z,0,6882314aa85e68182405c388,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T14:00:00.000Z,0,6882314aa85e68182405c389,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T14:10:00.000Z,0,6882314aa85e68182405c38a,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T14:20:00.000Z,0,6882314aa85e68182405c38b,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T14:30:00.000Z,0,6882314aa85e68182405c38c,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T14:40:00.000Z,0,6882314aa85e68182405c38d,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-22T09:40:00.000Z,0,6882314aa85e68182405c3ff,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T09:50:00.000Z,0,6882314aa85e68182405c400,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T10:00:00.000Z,0,6882314aa85e68182405c401,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T10:10:00.000Z,0,6882314aa85e68182405c402,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T10:20:00.000Z,0,6882314aa85e68182405c403,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T10:30:00.000Z,0,6882314aa85e68182405c404,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T10:40:00.000Z,0,6882314aa85e68182405c405,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T10:50:00.000Z,0,6882314aa85e68182405c406,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
